Depth_m,Density_g_cm3,Vp_m_s,Vs_m_s,Bulk_Modulus_GPa,Shear_Modulus_GPa,Youngs_Modulus_GPa,Poissons_Ratio,Gamma_Ray_gAPI,Neutron_Porosity_pu
2561.5392,-1.836,4.493865166352627,2.041193535684724,-2.6878175978147957e-05,-7.649640848022348e-06,-2.096044581338889e-05,0.37002809869222647,74.5759,38.3591
2561.6154,-1.8261,4.573102117610344,2.064674156755373,-2.781045082551741e-05,-7.784444024082587e-06,-2.13603361958048e-05,0.3719885536926423,76.3639,37.2882
2561.6916,-1.823,4.573102117610344,2.064674156755373,-2.7763239611696097e-05,-7.771229098024508e-06,-2.132407474122565e-05,0.37198855369264233,78.317,36.7602
2561.7678,-1.8275,4.628392332175223,1.9965231152572882,-2.9435925387193514e-05,-7.2846060646803086e-06,-2.01884505899998e-05,0.3856926792434444,80.1766,36.6113
2561.844,-1.8402,4.628392332175223,1.9965231152572882,-2.9640486948023808e-05,-7.3352295924622185e-06,-2.032874789368954e-05,0.38569267924344447,82.3688,36.5728
2561.9202,-1.8611,4.647333272344708,1.971448917934558,-3.055099641358677e-05,-7.2333714269267595e-06,-2.0112787317387107e-05,0.39027751585628334,84.631,36.42
2561.9964,-1.8897,4.647333272344708,1.971448917934558,-3.1020481394205e-05,-7.344528496837084e-06,-2.0421865667436686e-05,0.3902775158562834,87.2363,36.0947
2562.0726,-1.9243,4.650091308387404,2.006988904274926,-3.127502550536346e-05,-7.751088986000816e-06,-2.1478853240810115e-05,0.38553777924643295,89.7441,35.6631
2562.1488,-1.963,4.650091308387404,2.006988904274926,-3.1904004088254676e-05,-7.906972758675677e-06,-2.1910818953235073e-05,0.38553777924643295,92.2025,35.1386
2562.225,-2.0029,4.650091308387404,2.006988904274926,-3.255248588301849e-05,-8.067690136704794e-06,-2.2356178951316623e-05,0.3855377792464329,93.8563,34.4246
2562.3012,-2.0416,4.6501125913088055,2.0881031555842373,-3.2277656652993614e-05,-8.90173284791751e-06,-2.4456906008034815e-05,0.3737160183231242,94.7429,33.3569
2562.3774,-2.0765,4.670784762330919,2.3107697183029186,-3.05176727178045e-05,-1.1087797118914968e-05,-2.9670106035772897e-05,0.33796216315853556,94.2114,31.9022
2562.4536,-2.1053,4.670784762330919,2.3107697183029186,-3.094093733339457e-05,-1.1241579231616511e-05,-3.0081615332103385e-05,0.33796216315853556,92.1484,30.2745
2563.9014,-2.8188,4.350600134457524,2.0240280282726437,-3.7956463785017796e-05,-1.1547748247686673e-05,-3.145347761838297e-05,0.36188791718264024,116.7112,22.67
2563.9776,-2.817,4.350600134457524,2.0240280282726437,-3.793222594096605e-05,-1.1540374206660053e-05,-3.143339238363304e-05,0.3618879171826402,116.4498,22.4512
2564.0538,-2.8275,4.376361331229387,2.324095409911566,-3.3790451194551806e-05,-1.5272513563786856e-05,-3.9818519664531524e-05,0.3036007301033434,115.9938,22.2208
2564.13,-2.8477,4.376361331229387,2.324095409911566,-3.403185424110528e-05,-1.538162223716917e-05,-4.010298795709511e-05,0.3036007301033433,115.3689,21.9531
2564.2062,-2.8709,4.413304200892217,2.4435921445888225,-3.306051081920393e-05,-1.714255320161828e-05,-4.3848821689948895e-05,0.2789466415600656,113.9838,21.6896
2564.2824,-2.8875,4.413304200892217,2.4435921445888225,-3.325167194623685e-05,-1.724167416826528e-05,-4.410236254475164e-05,0.2789466415600656,112.3908,21.4925
2564.3586,-2.8874,4.4589761032235415,2.5046078045485585,-3.3258192210843635e-05,-1.8112834179148068e-05,-4.5989652738917316e-05,0.26953220804786326,110.2932,21.4221
2564.4348,-2.8647,4.4589761032235415,2.5046078045485585,-3.299672481346669e-05,-1.7970435711368517e-05,-4.56280938564717e-05,0.2695322080478633,108.052,21.5009
2564.511,-2.8197,4.497094151269382,2.520237140423843,-3.3145748735197407e-05,-1.7909593109427143e-05,-4.552863877355786e-05,0.2710684853469052,104.9811,21.6957
2564.5872,-2.7584,4.497094151269382,2.520237140423843,-3.242516342560149e-05,-1.7520240320971675e-05,-4.4538850655382485e-05,0.2710684853469052,101.1107,21.9184
2564.6634,-2.6888,4.497094151269382,2.520237140423843,-3.160701110018753e-05,-1.707816929199124e-05,-4.3415045548938675e-05,0.2710684853469052,95.9642,22.0809
2564.7396,-2.6175,4.497094151269382,2.518408841531933,-3.080102557564482e-05,-1.6601187746205514e-05,-4.221855445248757e-05,0.2715522255971519,90.4338,22.1443
2564.8158,-2.5488,4.492712607895855,2.510662903967144,-3.0024597957965548e-05,-1.6066177840398845e-05,-4.090282579967588e-05,0.27294824587415595,85.2749,22.1188
2564.892,-2.4849,4.492712607895855,2.510662903967144,-2.9271862627804686e-05,-1.566338877730975e-05,-3.987736653704277e-05,0.2729482458741559,81.8156,22.0712
2564.9682,-2.4272,4.514645938003603,2.5016825620906453,-2.9217356302766793e-05,-1.5190426444972137e-05,-3.884013999059771e-05,0.2784413963392502,80.1078,22.0889
2565.0444,-2.3764,4.514645938003603,2.5016825620906453,-2.8605852635915872e-05,-1.487249893038554e-05,-3.8027236599232184e-05,0.27844139633925025,80.1331,22.2233
